Country,TotalAmount_sum,TotalAmount_mean,TotalAmount_count,CustomerID_nunique,InvoiceNo_nunique,StockCode_nunique,Quantity_sum,Revenue_per_Customer,Avg_Transaction_Value,Market_Share
United Kingdom,7859929.46,21.72,361878,3950,19857,3661,4530411,1989.86,395.83,82.41
Netherlands,286918.02,121.01,2371,9,101,785,201746,31879.78,2840.77,3.01
EIRE,281433.28,37.6,7485,3,319,1950,144721,93811.09,882.24,2.95
Germany,236084.48,24.86,9495,95,603,1671,121078,2485.1,391.52,2.48
France,225496.32,26.56,8491,87,458,1523,113096,2591.91,492.35,2.36
Australia,140799.35,111.83,1259,9,69,600,84765,15644.37,2040.57,1.48
Spain,68426.39,27.01,2533,31,105,1093,29078,2207.3,651.68,0.72
Switzerland,57156.15,30.45,1877,21,71,947,30388,2721.72,805.02,0.6
Belgium,41481.72,20.05,2069,25,119,778,23322,1659.27,348.59,0.43
Sweden,40160.75,86.93,462,8,46,261,36529,5020.09,873.06,0.42
Japan,39492.12,110.31,358,8,28,216,26814,4936.52,1410.43,0.41
Portugal,37819.97,25.55,1480,19,70,686,16200,1990.52,540.29,0.4
Norway,37187.32,34.24,1086,10,40,591,19429,3718.73,929.68,0.39
Singapore,33438.19,146.02,229,1,10,178,5248,33438.19,3343.82,0.35
Finland,22765.42,32.76,695,12,48,458,10742,1897.12,474.28,0.24
Channel Islands,20814.59,27.46,758,9,33,430,9503,2312.73,630.75,0.22
Denmark,19142.54,49.21,389,9,21,251,8282,2126.95,911.55,0.2
Italy,18075.97,22.51,803,15,55,477,8225,1205.06,328.65,0.19
Cyprus,14234.47,22.88,622,8,20,498,6405,1779.31,711.72,0.15
Austria,10243.04,25.54,401,11,19,307,4935,931.19,539.11,0.11
Poland,7456.16,21.87,341,6,24,204,3715,1242.69,310.67,0.08
Israel,7449.13,29.8,250,4,6,221,4102,1862.28,1241.52,0.08
USA,5429.86,18.66,291,4,7,163,3882,1357.46,775.69,0.06
Greece,4810.52,32.95,146,4,6,138,1558,1202.63,801.75,0.05
Iceland,4310.0,23.68,182,1,7,103,2458,4310.0,615.71,0.05
Canada,3666.38,24.28,151,4,6,147,2763,916.6,611.06,0.04
Malta,2945.71,23.19,127,2,10,99,996,1472.86,294.57,0.03
United Arab Emirates,1902.28,27.97,68,2,3,68,982,951.14,634.09,0.02
Lebanon,1693.88,37.64,45,1,1,45,386,1693.88,1693.88,0.02
Lithuania,1661.06,47.46,35,1,4,29,652,1661.06,415.26,0.02
European Community,1308.75,21.45,61,1,5,50,501,1308.75,261.75,0.01
Brazil,1143.6,35.74,32,1,1,32,356,1143.6,1143.6,0.01
RSA,1003.56,17.3,58,1,1,58,352,1003.56,1003.56,0.01
Czech Republic,945.76,31.53,30,1,5,25,750,945.76,189.15,0.01
Bahrain,548.4,32.26,17,2,2,16,260,274.2,274.2,0.01
Saudi Arabia,160.67,16.07,10,1,2,9,85,160.67,80.33,0.0
