StockCode,Description,TotalAmount_sum,TotalAmount_mean,TotalAmount_count,Quantity_sum,Quantity_mean,UnitPrice_mean,UnitPrice_std,CustomerID_nunique,InvoiceNo_nunique,Revenue_per_Customer,Avg_Quantity_per_Transaction,Revenue_Category,Popularity_Category
10002,INFLATABLE POLITICAL GLOBE ,699.55,14.28,49,823,16.8,0.85,0.0,40,49,17.49,16.8,High,Popular
10080,GROOVY CACTUS INFLATABLE,114.41,5.45,21,291,13.86,0.41,0.1,19,21,6.02,13.86,Medium,Occasional
10120,DOGGY RUBBER,40.53,1.35,30,193,6.43,0.21,0.0,25,29,1.62,6.66,Low,Occasional
10123C,HEARTS WRAPPING TAPE ,3.25,1.08,3,5,1.67,0.65,0.0,3,3,1.08,1.67,Low,Niche
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,1.34,5,16,3.2,0.42,0.0,5,5,1.34,3.2,Low,Niche
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,1.78,4,17,4.25,0.42,0.0,4,4,1.78,4.25,Low,Niche
10125,MINI FUNKY DESIGN TAPES,930.3,14.54,64,1226,19.16,0.78,0.16,49,61,18.99,20.1,High,Popular
10133,COLOURING PENCILS BROWN TUBE,1147.81,9.18,125,2394,19.15,0.53,0.19,101,123,11.36,19.46,High,Popular
10135,COLOURING PENCILS BROWN TUBE,1787.94,14.66,122,1939,15.89,1.2,0.51,92,118,19.43,16.43,High,Popular
11001,ASSTD DESIGN RACING CAR PEN,2190.05,31.74,69,1437,20.83,1.83,0.5,45,67,48.67,21.45,Premium,Popular
15030,FAN BLACK FRAME ,41.47,3.19,13,143,11.0,0.29,0.0,11,12,3.77,11.92,Low,Occasional
15034,PAPER POCKET TRAVELING FAN ,805.35,8.48,95,7804,82.15,0.14,0.02,70,95,11.5,82.15,High,Popular
15036,ASSORTED COLOURS SILK FAN,16550.12,50.3,329,22620,68.75,0.8,0.05,194,328,85.31,68.96,Premium,Best-Seller
15039,SANDALWOOD FAN,1155.25,15.61,74,1585,21.42,0.84,0.06,58,73,19.92,21.71,High,Popular
15044A,PINK PAPER PARASOL ,1251.23,15.64,80,429,5.36,3.02,0.45,53,79,23.61,5.43,High,Popular
15044B,BLUE PAPER PARASOL ,868.6,17.73,49,308,6.29,2.93,0.08,37,49,23.48,6.29,High,Popular
15044C,PURPLE PAPER PARASOL,790.45,12.55,63,275,4.37,2.94,0.07,43,62,18.38,4.44,High,Popular
15044D,RED PAPER PARASOL,1741.24,22.91,76,632,8.32,2.96,0.35,54,75,32.25,8.43,High,Popular
15056BL,EDWARDIAN PARASOL BLACK,15871.17,53.62,296,2909,9.83,5.89,0.66,142,296,111.77,9.83,Premium,Best-Seller
15056N,EDWARDIAN PARASOL NATURAL,20962.76,54.03,388,3871,9.98,5.86,0.5,184,384,113.93,10.08,Premium,Best-Seller
15056P,EDWARDIAN PARASOL PINK,4312.36,30.58,141,779,5.52,5.93,0.61,89,139,48.45,5.6,Premium,Best-Seller
15058A,BLUE POLKADOT GARDEN PARASOL,1141.95,20.76,55,153,2.78,7.78,0.43,41,55,27.85,2.78,High,Popular
15058B,PINK POLKADOT GARDEN PARASOL,903.6,21.01,43,120,2.79,7.84,0.35,32,43,28.24,2.79,High,Occasional
15058C,ICE CREAM DESIGN GARDEN PARASOL,894.35,29.81,30,193,6.43,6.35,1.99,26,30,34.4,6.43,High,Occasional
15060B,FAIRY CAKE DESIGN UMBRELLA,1486.62,15.49,96,412,4.29,3.82,0.67,68,96,21.86,4.29,High,Popular
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,5.15,70,2892,41.31,0.14,0.04,54,70,6.68,41.31,Medium,Popular
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.6,1.2,3,30,10.0,0.12,0.0,3,3,1.2,10.0,Low,Niche
16011,ANIMAL STICKERS,372.33,7.92,47,1773,37.72,0.21,0.0,38,46,9.8,38.54,Medium,Popular
16012,FOOD/DRINK SPONGE STICKERS,256.2,7.12,36,1220,33.89,0.21,0.0,32,34,8.01,35.88,Medium,Occasional
16014,SMALL CHINESE STYLE SCISSOR,4335.76,80.29,54,13328,246.81,0.4,0.04,34,54,127.52,246.81,Premium,Popular
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,12.08,24,662,27.58,0.49,0.04,19,24,15.26,27.58,Medium,Occasional
16016,LARGE CHINESE STYLE SCISSOR,1053.45,16.21,65,1273,19.58,0.85,0.02,41,65,25.69,19.58,High,Popular
16020C,CLEAR STATIONERY BOX SET ,5.1,2.55,2,6,3.0,0.85,0.0,1,2,5.1,3.0,Low,Niche
16033,MINI HIGHLIGHTER PENS,100.8,25.2,4,840,210.0,0.12,0.0,4,4,25.2,210.0,Low,Niche
16043,POP ART PUSH DOWN RUBBER ,11.76,5.88,2,98,49.0,0.12,0.0,2,2,5.88,49.0,Low,Niche
