CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,2,154367.2,1,2,5,8,Potential
12347.0,1,7,4310.0,5,4,5,14,Champions
12348.0,74,4,1797.24,2,3,4,9,Potential
12349.0,18,1,1757.55,4,1,4,9,Potential
12350.0,309,1,334.4,1,1,2,4,Lost
12352.0,35,11,3466.67,3,5,5,13,Champions
12353.0,203,1,89.0,1,1,1,3,Lost
12354.0,231,1,1079.4,1,1,4,6,At Risk
12355.0,213,1,459.4,1,1,2,4,Lost
12356.0,22,3,2811.43,4,3,5,12,Champions
12357.0,32,1,6207.67,3,1,5,9,Potential
12358.0,1,2,1168.06,5,2,4,11,Loyal
12359.0,7,6,6499.63,5,4,5,14,Champions
12360.0,51,3,2662.06,3,3,5,11,Loyal
12361.0,286,1,189.9,1,1,1,3,Lost
12362.0,2,13,5297.88,5,5,5,15,Champions
12364.0,7,4,1313.1,5,3,4,12,Champions
12365.0,290,3,962.0699999999999,1,3,3,7,At Risk
12367.0,3,1,168.9,5,1,1,7,At Risk
12370.0,50,4,3545.69,3,3,5,11,Loyal
12371.0,44,2,1887.96,3,2,4,9,Potential
12372.0,71,3,1298.04,2,3,4,9,Potential
12373.0,310,1,364.6,1,1,2,4,Lost
12374.0,24,1,742.9300000000001,4,1,3,8,Potential
12375.0,2,3,459.58000000000004,5,3,2,10,Loyal
12377.0,314,2,1628.12,1,2,4,7,At Risk
12378.0,129,1,4008.62,2,1,5,8,Potential
12379.0,81,3,854.19,2,3,3,8,Potential
12380.0,21,5,2729.06,4,4,5,13,Champions
12381.0,4,6,1886.66,5,4,4,13,Champions
12383.0,184,6,1861.81,1,4,4,9,Potential
12384.0,28,3,604.38,4,3,3,10,Loyal
12386.0,337,2,401.9,1,2,2,5,Lost
12388.0,15,6,2780.66,4,4,5,13,Champions
12390.0,79,1,549.84,2,1,3,6,At Risk
12391.0,21,1,460.89,4,1,2,7,At Risk
12393.0,71,4,1582.6000000000001,2,3,4,9,Potential
12394.0,63,2,1272.48,3,2,4,9,Potential
12395.0,15,15,3038.98,4,5,5,14,Champions
12397.0,35,2,2409.9,3,2,5,10,Loyal
12398.0,45,1,1635.6599999999999,3,1,4,8,Potential
12399.0,118,4,1108.65,2,3,4,9,Potential
12401.0,302,1,84.3,1,1,1,3,Lost
12402.0,322,1,225.6,1,1,1,3,Lost
12403.0,49,2,445.7,3,2,2,7,At Risk
12405.0,148,1,1710.39,2,1,4,7,At Risk
12406.0,21,3,3549.85,4,3,5,12,Champions
12407.0,49,5,1708.1200000000001,3,4,4,11,Loyal
12408.0,32,9,2934.5299999999997,3,5,5,13,Champions
12409.0,78,7,11088.41,2,4,5,11,Loyal
