InvoiceDate,Daily_Revenue,Daily_Transactions,Daily_Customers,Daily_Quantity
2010-12-01,46701.72,127,98,24398
2010-12-02,48857.63,160,117,41429
2010-12-03,25244.96,64,55,12130
2010-12-05,32170.55,94,76,16506
2010-12-06,31966.2,111,90,16487
2010-12-07,54464.63,79,70,19537
2010-12-08,40448.96,134,112,21871
2010-12-09,39285.95,132,122,17926
2010-12-10,35295.21,78,54,16714
2010-12-12,17393.920000000002,50,42,10637
2010-12-13,27855.93,75,61,15436
2010-12-14,31731.19,131,104,18364
2010-12-15,31312.65,93,86,18687
2010-12-16,50072.43,142,117,30112
2010-12-17,21930.7,60,52,12297
2010-12-19,7434.99,20,17,3743
2010-12-20,21669.34,77,59,14273
2010-12-21,16280.36,36,31,11268
2010-12-22,4951.92,19,17,3095
2010-12-23,5913.77,26,23,3288
2011-01-04,13201.06,42,38,7191
2011-01-05,29456.86,62,56,18587
2011-01-06,36967.32,71,66,22046
2011-01-07,25401.24,52,49,15807
2011-01-09,15845.6,51,48,8223
2011-01-10,15709.26,38,35,9411
2011-01-11,61107.24,73,61,26398
2011-01-12,17876.19,55,49,8017
2011-01-13,15270.91,47,47,8333
2011-01-14,39731.659999999996,47,46,21166
2011-01-16,7367.51,29,22,4227
2011-01-17,16674.37,50,48,8766
2011-01-18,164855.66,39,34,154854
2011-01-19,21995.54,38,35,16018
2011-01-20,15617.460000000001,43,37,8259
2011-01-21,24941.62,57,51,12954
2011-01-23,10514.55,30,27,5288
2011-01-24,17810.54,50,46,9660
2011-01-25,25225.25,78,71,15340
2011-01-26,17919.79,66,57,10518
2011-01-27,24795.73,68,63,11247
2011-01-28,18780.39,45,44,9837
2011-01-30,6775.06,25,22,3495
2011-01-31,20093.79,80,64,13273
2011-02-01,26972.32,71,65,15159
2011-02-02,17312.98,63,59,8972
2011-02-03,22319.25,50,48,15498
2011-02-04,18236.13,50,42,11292
2011-02-06,3457.11,11,11,2048
2011-02-07,23836.08,46,39,8808
2011-02-08,14389.81,45,42,8741
2011-02-09,11920.78,23,22,6145
2011-02-10,15677.83,64,58,12252
2011-02-11,21085.28,82,70,10113
2011-02-13,5891.86,24,21,2797
2011-02-14,23485.47,48,46,12405
2011-02-15,37946.1,58,48,22135
2011-02-16,23717.51,68,56,15934
2011-02-17,17685.59,59,51,12766
2011-02-18,14743.41,54,49,8713
2011-02-20,9670.49,29,26,5360
2011-02-21,33358.32,44,41,20486
2011-02-22,29344.31,60,52,20983
2011-02-23,19446.91,57,53,12195
2011-02-24,21626.9,62,57,11614
2011-02-25,20943.59,47,44,10724
2011-02-27,9561.95,35,31,4882
2011-02-28,15108.97,52,49,8421
2011-03-01,24515.12,60,52,11584
2011-03-02,19081.33,64,58,8697
2011-03-03,33406.23,66,62,20060
2011-03-04,17354.4,47,38,12950
2011-03-06,10406.56,34,28,5108
2011-03-07,21029.55,92,74,11304
2011-03-08,22294.76,47,43,13870
2011-03-09,20477.59,57,51,11544
2011-03-10,24954.05,79,69,15712
2011-03-11,24375.9,56,47,9285
2011-03-13,4158.62,17,16,2757
2011-03-14,26164.21,58,49,16795
