Hour,Hourly_Total_Revenue,Hourly_Avg_Revenue,Hourly_Transactions
6,505.85,12.33780487804878,22
7,31109.100000000002,81.22480417754569,31
8,284135.89,32.317548908098274,608
9,1029844.711,45.874859058309944,1621
10,1371645.621,35.22097424506985,2612
11,1155635.57,22.998180461302713,2770
12,1420068.981,19.362288743148536,3597
13,1227612.7,18.87763647547286,3041
14,1043652.601,18.94966138901498,2645
15,1043073.48,22.5949545100078,2403
16,489950.53,19.706010135542776,1489
17,255898.061,18.6324494684724,842
18,109181.95,34.80457443417278,257
19,53375.08,15.202244374821989,217
20,21845.15,25.080539609644088,28
