InvoiceDate,Weekly_Revenue,Weekly_Transactions
2010-11-29/2010-12-05,152974.86000000002,445
2010-12-06/2010-12-12,218854.87,584
2010-12-13/2010-12-19,170337.89,521
2010-12-20/2010-12-26,48815.39,158
2011-01-03/2011-01-09,120872.08,278
2011-01-10/2011-01-16,157062.77,289
2011-01-17/2011-01-23,254599.2,257
2011-01-24/2011-01-30,111306.76,332
2011-01-31/2011-02-06,108391.58,325
2011-02-07/2011-02-13,92801.64,284
2011-02-14/2011-02-20,127248.57,316
2011-02-21/2011-02-27,134281.98,305
2011-02-28/2011-03-06,119872.61,323
2011-03-07/2011-03-13,117290.47,348
2011-03-14/2011-03-20,140956.47,362
2011-03-21/2011-03-27,131121.98,356
2011-03-28/2011-04-03,149785.63,382
2011-04-04/2011-04-10,132853.48,356
2011-04-11/2011-04-17,136865.311,406
2011-04-18/2011-04-24,140931.06,310
2011-04-25/2011-05-01,75556.98,232
2011-05-02/2011-05-08,147727.03,401
2011-05-09/2011-05-15,182930.44,444
2011-05-16/2011-05-22,199407.22,501
2011-05-23/2011-05-29,152388.26,422
2011-05-30/2011-06-05,104128.06,301
2011-06-06/2011-06-12,236253.93,437
2011-06-13/2011-06-19,176476.01,412
2011-06-20/2011-06-26,116403.36,381
2011-06-27/2011-07-03,118688.0,314
2011-07-04/2011-07-10,134045.05,368
2011-07-11/2011-07-17,120138.3,356
2011-07-18/2011-07-24,186202.13,409
2011-07-25/2011-07-31,166034.451,377
2011-08-01/2011-08-07,162408.17,350
2011-08-08/2011-08-14,150833.51,327
2011-08-15/2011-08-21,171553.31,356
2011-08-22/2011-08-28,151318.98,399
2011-08-29/2011-09-04,124285.96,320
2011-09-05/2011-09-11,169077.57,430
2011-09-12/2011-09-18,213126.99,428
2011-09-19/2011-09-25,319252.062,538
2011-09-26/2011-10-02,198951.09100000001,507
2011-10-03/2011-10-09,308692.04,575
2011-10-10/2011-10-16,225344.83,502
2011-10-17/2011-10-23,268202.71,500
2011-10-24/2011-10-30,256396.95,583
2011-10-31/2011-11-06,270846.01,598
2011-11-07/2011-11-13,274164.89,713
2011-11-14/2011-11-20,283448.29,784
2011-11-21/2011-11-27,266924.03,663
2011-11-28/2011-12-04,256253.16,750
2011-12-05/2011-12-11,582850.9,567
