StockCode,Description,Revenue,Transactions,Quantity,Customers
23843,"PAPER CRAFT , LITTLE BIRDIE",336939.2,2,161990,1
M,Manual,170151.84,465,11174,276
23166,MEDIUM CERAMIC TOP STORAGE JAR,158896.37000000002,208,152410,138
22423,REGENCY CAKESTAND 3 TIER,152417.5,1903,13267,885
85123A,WHITE HANGING HEART T-LIGHT HOLDER,107072.45,2070,39303,858
POST,POSTAGE,88897.68000000001,1196,3238,379
85099B,JUMBO BAG RED RETROSPOT,87204.8,1662,47296,636
47566,PARTY BUNTING,70020.93000000001,1416,15563,708
84879,ASSORTED COLOUR BIRD ORNAMENT,56624.28,1415,35388,677
23084,RABBIT NIGHT LIGHT,51554.6,857,27310,450
